acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,direction
0.460367,-0.008723,0.858819,0.049082,-0.094818,-0.004376,up
0.44896,-0.010919,0.860283,0.043333,-0.009267,-0.001716,up
0.451522,-0.008784,0.859612,-0.00532,-0.050627,0.012442,up
0.444141,0.002623,0.851926,-0.04668,-0.073109,-0.003347,up
0.435784,0.012627,0.863943,0.017333,0.016132,-0.006178,up
0.442616,0.015921,0.856196,0.026257,0.03235,0.018535,up
0.44713,0.012505,0.852719,0.068475,-0.016389,0.012871,up
0.44713,0.009211,0.856623,0.057749,-0.051914,-0.011584,up
0.443775,0.005429,0.862784,0.05569,-0.029604,-0.000515,up
0.442372,-0.004758,0.860283,0.042303,-0.038442,-0.009611,up
0.665998,-0.048922,0.687226,0.058264,-0.051571,-0.004462,up
0.657885,-0.053009,0.715896,0.026171,-0.054145,-0.007723,up
0.653005,-0.052582,0.718153,0.013987,-0.031577,-0.004634,up
0.648308,-0.051484,0.725351,0.029003,-0.023426,-0.002832,up
0.646356,-0.053253,0.724863,0.020337,-0.021624,-0.001888,up
0.646478,-0.051667,0.722057,0.01965,-0.034924,-0.007294,up
0.643977,-0.049715,0.726815,0.014073,-0.043848,-0.010898,up
0.64294,-0.049471,0.728645,0.035696,-0.038957,-0.002917,up
0.642818,-0.050325,0.72773,0.039386,-0.049769,0.021538,up
0.635498,-0.051789,0.732427,0.016218,-0.012614,-0.000944,up
0.711382,-0.039101,0.658068,0.038356,-0.05569,-0.020937,up
0.707356,-0.040016,0.66612,0.036297,-0.043162,-0.007208,up
0.706258,-0.040992,0.663985,0.034495,-0.027802,-0.004977,up
0.704855,-0.043859,0.661484,0.038528,-0.051571,0.000429,up
0.705221,-0.038979,0.670512,0.035353,-0.015703,-0.006264,up
0.705648,-0.04392,0.664717,0.029604,-0.024198,-0.006521,up
0.703574,-0.044713,0.668743,0.033551,-0.032006,-0.004548,up
0.702659,-0.044469,0.667706,0.027802,-0.017333,-0.004033,up
0.703025,-0.044896,0.667279,0.02334,-0.02763,-0.005148,up
0.702903,-0.045933,0.668804,0.027115,-0.032006,-0.001116,up
0.791841,-0.061183,0.555588,0.021195,-0.026429,-0.006178,up
0.792512,-0.060085,0.557906,0.037069,-0.034323,-0.006521,up
0.790865,-0.060817,0.558882,0.038013,-0.021967,-0.00798,up
0.789645,-0.060817,0.562725,0.026086,-0.023168,-0.005835,up
